title,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
"Amigo, ¿dónde está mi coche?",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Las locuras del emperador
",0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pollock,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lo que las mujeres quieren,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Encontrar Forrester,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El don,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Antes de las caídas de la noche,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Desechar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El hombre de la familia,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
La casa de la alegría,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Señorita la congenante,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oh hermano, ¿dónde estás?",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Estado y principal,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Drácula 2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Todos los caballos bonitos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"Pieza eterna, una",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treinta dias,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Tráfico,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
La reclamación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Sombra del vampiro,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
No le digas a mamá que la niñera está muerta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gettysburg,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Antimonopolista,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Reacción tardía,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guarda el último baile,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Panic,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La prenda,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
El hombre en la luna,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Preludio a un beso,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Corazón indomable,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Azúcar y especias,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El organizador de bodas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
La leyenda de Rita,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Con un amigo como Harry ... (Harry, Un ami qui vous Veut du Bien)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Patas arriba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Left Behind: The Movie,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Valentine,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
De humor para el amor (fa yeung nin wa),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
El hotel de un millón de dólares,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Nico y Dani (Krámpack),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Anibal,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Salvando a Silverman (mujer malvada),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Vatelo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Con los pies en la tierra,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Llegó el recreo
",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noviembre dulce,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Hombre de compañía,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El precio de la leche,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Mono,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3000 millas a Graceland,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La viuda de St. Pierre,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
El mexicano,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El San Valentín del hombre de las cavernas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Serie 7: Los contendientes,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15 minutos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Superalo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Viaje de larga noche al día,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avalón,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Anatomia de Gray,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Los fantasticks,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Doble impacto,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harley Davidson y el hombre de Marlboro,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Sirenas,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
sellos de la marina,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cambio de suerte,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4 niñas pequeñas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rudeza necesaria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enemigo en las puertas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Heridas de salida,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
El plato,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recuerdo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Rompecorazones,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Di que no es así,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alguien como tu,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mini espías,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomcats,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El sastre de Panamá,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Amores perros (el amor es perra),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Mantenga el río a su derecha: un cuento caníbal moderno,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Los Gleaners y yo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Llegó una araña,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Explotar,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Solo de visita,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pokémon 3: La película,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Criaturas hermosas,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Ciudad de Brigham,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Diario de Bridget Jones,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Joe Dirt,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Josie y los Pussycats,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicóptero,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
El círculo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crocodile Dundee en Los Ángeles,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Freddy fue dedicado,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El centro del mundo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La defensa de Luzhin,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
La visita,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Driven,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Una noche en McCool's,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo País,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La momia regresa,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bajo la arena,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Frankie y Johnny,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Para los chicos,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Tale Knight, un",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pan y rosas,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Startup.com,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ojos de Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
,,,,,,,,,,,,,,,,,,,
"Comida rápida, mujeres rápidas",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Moulin Rouge,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Pearl Harbor,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Himalaya (Himalaya - L'Enfance d'un Chef),0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El hombre que lloró,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Poción de amor #9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Slickers de la ciudad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Yi Yi,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El animal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden grande,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Evolución,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pez espada,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
La fiesta de aniversario,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dividido nos caemos (musíme si pomáhat),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Silver olvidada,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Punto de ruptura,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Entrada ilegal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Atlantis: el imperio perdido,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lara Croft: Tomb Raider,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dr. Dolittle 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El rápido y el furioso,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
AI.Inteligencia artificial,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Bebé,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Exageradamente bello,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Pootie Tang,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deja que nieve,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sexy Beast,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
La princesa y el guerrero,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
El armario,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los ríos carmesí,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
Lumumba,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Como perros y gatos
",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beso del dragón,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Película de miedo 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perdido y delirante,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Violarme (baise-moi),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Alicia,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Sombras y niebla,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
T-Rex: De vuelta al Cretácico,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Final Fantasy: Los espíritus dentro,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Legalmente Rubia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
El marcador,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Adanggaman,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bully,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
Saltar mañana,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Hecho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Jordan al máximo,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Más,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
África: el Serengeti,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Alaska: Espíritu de la naturaleza,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Parque Jurassic III,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Los novios de Estados Unidos,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hermano,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mundo fantasma,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hedwig y la pulgada enojada,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Planeta de los simios,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Pan y tulipanes (panel e tulipani),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Curar,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Dedos verdes,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Summer americano hot hot americano,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fin de semana en Bernie's II,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Túnica negra,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El pecado original,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
El diario de la princesa,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hora pico 2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Theremin: una odisea electrónica,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pie American 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ósmosis Jones,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Los demás,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
Outlaws americanos,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Por todo el chico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El profundo final,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sesión 9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Mandolina del Capitán Corelli,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Carrera de ratas,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chico burbuja,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La maldición del Jade Scorpion,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay y Silent Bob devuelven,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantasmas de Marte,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Captura de verano,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Accidentes felices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Quizás nena,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Juntos (Tillsammans),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Sopa de tortilla,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Creepers de jeepers,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3 ninjas,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Ninjas Kick Back,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Ninjas Knuckle Up,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El mosquetero,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Estrella de rock,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Dos pueden jugar ese juego,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MENTIR.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Nuestra Señora de los Asesinos (Virgen de los Sicarios, LA)",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
En los brazos de extraños: historias del kindertransport,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
La casa de cristal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bola dura,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Apresuramiento de la cena,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Túnel haiku,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gran problema,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Brillantina,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
Día de entrenamiento,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
El astronauta americano,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Liam,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aceras de Nueva York,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
La resistencia: la legendaria expedición antártica de Shackleton,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Little Man Tate,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La desaparición,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
No digas una palabra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Corazones en Atlantis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zoolandro,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Días extremos,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Joy Ride,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La revancha de Max,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casualidad,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
El pantano,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bandits,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Corky Romano,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Monkey (Siu nin Wong Fei-Hung Ji: Tit Ma Lau),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fat Girl (¡à ma soeur!),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mulholland Drive,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Mi primer señor,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spriggan (Supurigan),1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Huesos,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
No sin mi hija,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Titán,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Desde el infierno,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
El último castillo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montar en autos con niños,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Enfocar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Vida despierta,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
K-pax,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Trece fantasmas (también conocidos como fantasmas),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Mejor que el sexo,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Donnie Darko,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
Tacones altos y vidas bajas,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Vida como una casa,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El hombre que no estaba allí,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
La ciudad esta tranquila,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Disturbio doméstico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,,,,,,,,,,,,,,,
El único,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Cinta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Robo,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Hal poco profundo,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Novocaína,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
Caballero negro,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fuera de combate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juego de espías,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
La columna vertebral del diablo,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0
En el dormitorio,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
¡Todos son famosos!(¡Iedereen Beroemd!),0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
señor de las moscas,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Tras las líneas enemigas,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
El asunto del collar,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Estrella porno: La leyenda de Ron Jeremy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Vigilantes de Texas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
once del océano,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Baran,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
El negocio de los extraños,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Tierra de nadie,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"Amelie (Fabuleux Destin d'Amélie Poulain, LE)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
No otra película para adolescentes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cielo de vainilla,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
Iris,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kandahar (Safar E Ghandehar),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lantana,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Los reales Tenenbaums,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El falso viaje de Bill & Ted,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Qué tan alto,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Neutron: Boy Genius,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe alguien,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Kate y Leopold,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
El señor de los anillos: la comunión del anillo,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
El majestuoso,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Hermosa mente, un",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Ali,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Halcón Negro abajo,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Charlotte Gray,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Parque de gosford,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Soy Sam,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
La bola de monstruo,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Las noticias de envío,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
El agua,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
