Película,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western
King Kong Lives,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Desperately Seeking Susan,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Emerald Forest, The",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Fletch,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Fletch Lives,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Sonja,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Gung Ho,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Money Pit, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"View to a Kill, A",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Lifeforce,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Police Academy,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Police Academy 2: Their First Assignment,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Police Academy 3: Back in Training,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Police Academy 4: Citizens on Patrol,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Police Academy 5: Assignment: Miami Beach,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Police Academy 6: City Under Siege,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Babe: Pig in the City,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Home Fries,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Very Bad Things,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Steam: The Turkish Bath ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Psycho,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Little Voice,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simple Plan, A",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Jack Frost,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Star Trek: Insurrection,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
"Prince of Egypt, The",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rushmore,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shakespeare in Love,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Miracle on 34th Street,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Santa Claus: The Movie,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Prancer,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Pale Rider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rambo: First Blood Part II,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
First Blood ,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Rambo III,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"Jewel of the Nile, The",1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Romancing the Stone,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Cocoon,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cocoon: The Return,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Rocky II,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rocky III,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rocky IV,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rocky V,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Clue,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Young Sherlock Holmes,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Violets Are Blue...,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Back to School,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heartburn,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nothing in Common,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Extremities,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Karate Kid, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Karate Kid, Part II, The",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Karate Kid, Part III, The",1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Christmas Vacation ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You've Got Mail,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"General, The",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Thin Red Line, The",0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
"Faculty, The",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Mighty Joe Young,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
Mighty Joe Young,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Patch Adams,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stepmom,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Civil Action, A",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hurlyburly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tea with Mussolini,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Affliction,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hilary and Jackie,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Playing by Heart,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
At First Sight,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
In Dreams,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Varsity Blues,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Virus,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Howard the Duck,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Gate, The",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Boy Who Could Fly, The",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Fly, The",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Fly, The",0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"Fly II, The",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Running Scared,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Armed and Dangerous,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Texas Chainsaw Massacre, The",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Texas Chainsaw Massacre 2, The",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Texas Chainsaw Massacre: The Next Generation ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ruthless People,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deadly Friend,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Name of the Rose, The ",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Jumpin' Jack Flash,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Peggy Sue Got Married,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Crocodile Dundee,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crocodile Dundee II,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tough Guys,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Soul Man,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Color of Money, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52 Pick-Up,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Heartbreak Ridge,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Firewalker,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¡Three Amigos!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
My Name Is Joe,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Still Crazy,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Day of the Beast, The ",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
She's All That,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Peeping Tom,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Payback,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Simply Irresistible,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20 Dates,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Harmonists, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Last Days, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Fantastic Planet, The ",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Blast from the Past,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Message in a Bottle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
My Favorite Martian,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jawbreaker,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
October Sky,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Office Space,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Apple, The ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
200 Cigarettes,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8MM,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"Other Sister, The",0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Long Goodbye, The",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Ballad of Narayama, The ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pet Sematary,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pet Sematary II,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Children of the Corn II: The Final Sacrifice,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Children of the Corn III,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Christine,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Night Shift,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airport,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Airport 1975,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Airport '77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rollercoaster,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Towering Inferno, The",1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Alligator,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Meteor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Westworld,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Logan's Run,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Planet of the Apes,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Beneath the Planet of the Apes,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Battle for the Planet of the Apes,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Conquest of the Planet of the Apes,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Escape from the Planet of the Apes,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Avalanche,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Earthquake,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Beyond the Poseidon Adventure,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dancemaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Analyze This,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corruptor, The",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
Cruel Intentions,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lock, Stock & Two Smoking Barrels",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"School of Flesh, The ",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Deep End of the Ocean, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rage: Carrie 2, The",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Wing Commander,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Haunting, The",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Dead Ringers,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
My Boyfriend's Back,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Village of the Damned,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Children of the Damned,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Baby Geniuses,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Stand Alone ,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Forces of Nature,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"King and I, The",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravenous,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
True Crime,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Dangerous Beauty,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"King and I, The",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Doug's 1st Movie,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EDtv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mod Squad, The",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Walk on the Moon, A",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Matrix, The",0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
10 Things I Hate About You,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tango,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"Out-of-Towners, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dreamlife of Angels, The ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Metroland,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Following,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Go,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Never Been Kissed,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Twin Dragons ,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cookie's Fortune,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Lovers of the Arctic Circle, The ",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Goodbye Lover,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Life,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Friends & Lovers,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hideous Kinky,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Monster, The ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Open Your Eyes ,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
SLC Punk!,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lost & Found,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pushing Tin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Election,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eXistenZ,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Entrapment,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Idle Hands,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Get Real,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"King of Masks, The ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Winslow Boy, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mildred Pierce,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Night of the Comet,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Chopping Mall ,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
My Science Project,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dick Tracy,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Mummy, The",1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0
"Castle, The",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This Is My Father,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
William Shakespeare's A Midsummer Night's Dream,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trippin',0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After Life ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Black Mask ,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Star Wars: Episode I - The Phantom Menace,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"Love Letter, The",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Besieged ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Saragossa Manuscript, The ",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Mummy, The",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Mummy, The",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mommie Dearest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Superman,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Superman II,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Superman III,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Superman IV: The Quest for Peace,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Dracula,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Frankenstein,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Frankenstein Meets the Wolf Man,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Curse of Frankenstein, The",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Wolf Man, The",0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
Howling II: Your Sister Is a Werewolf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tarantula,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Rocky Horror Picture Show, The",0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
It Came from Hollywood,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Thing from Another World, The",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
It Came from Outer Space,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"War of the Worlds, The",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Invasion of the Body Snatchers,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Earth vs. the Flying Saucers,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Swamp Thing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Pork Chop Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Run Silent Run Deep,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Notting Hill,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Thirteenth Floor, The",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"Loss of Sexual Innocence, The",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Instinct,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Buena Vista Social Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Free Enterprise,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Limbo,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Austin Powers: The Spy Who Shagged Me,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Red Violin, The ",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Tarzan,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"General's Daughter, The",0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
"Ideal Husband, An",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Run Lola Run ,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Trekkies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Big Daddy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boys, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Dinner Game, The ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
My Son the Fanatic,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Zone 39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Arachnophobia,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"South Park: Bigger, Longer and Uncut",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wild Wild West,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Summer of Sam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
American Pie,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arlington Road,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Autumn Tale, An ",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Muppets From Space,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blair Witch Project, The",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Eyes Wide Shut,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
Lake Placid,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Ghostbusters ,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Ghostbusters II,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Drop Dead Gorgeous,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haunting, The",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Inspector Gadget,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Deep Blue Sea,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
Mystery Men,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Runaway Bride,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Twin Falls Idaho,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Killing, The",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Killer's Kiss,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Spartacus,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
Lolita,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Barry Lyndon,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"400 Blows, The ",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Jules and Jim ,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Vibes,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Mosquito Coast, The",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Golden Child, The",1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Brighton Beach Memoirs,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assassination,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Crimes of the Heart,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Color Purple, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Kindred, The",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
No Mercy,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Ménage ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Native Son,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otello,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Mission, The",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Little Shop of Horrors,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Little Shop of Horrors, The",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Allan Quatermain and the Lost City of Gold,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Morning After, The",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Radio Days,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
From the Hip,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Outrageous Fortune,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Deadtime Stories,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Frances,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Dick,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iron Giant, The",1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
